billing_id|customer_id|billing_period_id|billing_start_date|billing_end_date|amount_due|due_date|tax_id|SSN|phone_center|balance|package_id
b0002|C002|Bi002|4/31/2006|5/31/2006|21.99|2006-05-24 11:05:51|(null)|(null)|(null)|21.99|(null)
b0003|C001|Bi001|4/31/2006|5/31/2006|3.99|2006-05-24 11:05:50|(null)|(null)|(null)|3.99|p001
b0004|C064|Bi003|5/15/2006|5/20/2006|300|2006-05-24 12:10:40|(null)|512-98-7888|00 1 650 576 5477|300|p004
b0005|C066|Bi004|3/12/2006|3/17/2006|125|2006-05-24 12:10:40|54-9867457|(null)|00 1 650 576 5812|125|p003
b0006|C064|Bi005|2/11/2006|2/14/2006|75.99|2006-05-24 12:10:40|(null)|512-98-7888|00 1 650 576 5477|75.99|pld001
b0007|C077|Bi006|12/12/2005|1/12/2006|478.03|2006-05-24 12:10:40|14-0999679|(null)|00 1 650 572 0407|478.03|p004
b0008|C077|Bi007|3/10/2006|5/10/2006|78.53|2006-05-24 12:10:40|14-0999679|(null)|00 1 650 572 0407|78.53|wf6000
b0009|C077|Bi008|2/9/2006|2/25/2006|258|2006-05-24 12:10:40|14-0999679|(null)|00 1 650 572 0407|258|i003
b0010|C012|Bi009|2/11/2006|5/31/2006|31.99|2006-05-24 11:05:51|(null)|606-12-9871|00 1 408 855-9684|31.99|i001
b0011|C031|Bi010|5/10/2006|5/20/2006|500|2006-05-9 12:10:40|77-5467329|(null)|00 1 510 494-7247|500|pld004
b0012|C031|Bi011|3/10/2006|3/20/2006|25|2006-03-9 12:10:40|77-5467329|(null)|00 1 510 494-7247|25|p005
b0013|C003|Bi012|3/12/2006|3/17/2006|54.99|2006-05-24 12:10:40|56-1234567|(null)|00 1 408 322-2483|54.99|i005
b0014|C003|Bi013|3/8/2006|3/10/2006|149.99|2006-05-24 12:10:40|56-1234567|(null)|00 1 408 322-2483|149.99|wf3000
b0015|C005|Bi014|2/11/2006|2/14/2006|75.99|2006-05-24 12:10:40|(null)|474-99-1234|00 1 650 576 5477|75.99|pld001
b0016|C022|Bi015|12/12/2005|1/12/2006|36.99|2006-05-24 12:10:40|14-0999679|(null)|00 1 650 289 9082|36.99|p004
b0017|C022|Bi016|3/10/2006|5/10/2006|78.53|2006-05-24 12:10:40|14-0999679|(null)|00 1 650 289 9082|78.53|wf6000
b0018|C022|Bi017|2/9/2006|2/25/2006|258|2006-05-24 12:10:40|14-0999679|(null)|00 1 650 289 9082|258|i003
