1,amurphy0,a. murphy
2,amurphy1,a. murphy
3,kortiz2,k. ortiz
4,sfreeman3,s. freeman
5,rdean4,r. dean
6,jmartin5,j. martin
7,jpeters6,j. peters
8,bflores7,b. flores
9,fperkins8,f. perkins
10,alawrence9,a. lawrence
11,sgonzalesa,s. gonzales
12,jwashingtonb,j. washington
13,pfordc,p. ford
14,ljonesd,l. jones
15,dpiercee,d. pierce
16,sricef,s. rice
17,abowmang,a. bowman
18,slongh,s. long
19,dreedi,d. reed
20,mjamesj,m. james
21,lalexanderk,l. alexander
22,lbradleyl,l. bradley
23,aphillipsm,a. phillips
24,tsanchezn,t. sanchez
25,mblacko,m. black
26,irussellp,i. russell
27,jphillipsq,j. phillips
28,nwilsonr,n. wilson
29,aramirezs,a. ramirez
30,whenryt,w. henry
31,jrayu,j. ray
32,phansenv,p. hansen
33,pwrightw,p. wright
34,jjordanx,j. jordan
35,rhuntery,r. hunter
36,cfordz,c. ford
37,rblack10,r. black
38,rmontgomery11,r. montgomery
39,bsnyder12,b. snyder
40,kbowman13,k. bowman
41,pjohnston14,p. johnston
42,rmitchell15,r. mitchell
43,clane16,c. lane
44,jward17,j. ward
45,areid18,a. reid
46,cdiaz19,c. diaz
47,dtucker1a,d. tucker
48,jpayne1b,j. payne
49,ccarter1c,c. carter
50,padams1d,p. adams
51,agreen1e,a. green
52,lweaver1f,l. weaver
53,storres1g,s. torres
54,dpatterson1h,d. patterson
55,sdaniels1i,s. daniels
56,nward1j,n. ward
57,ccampbell1k,c. campbell
58,jlawson1l,j. lawson
59,lwillis1m,l. willis
60,jwright1n,j. wright
61,portiz1o,p. ortiz
62,mgordon1p,m. gordon
63,jrichardson1q,j. richardson
64,fmcdonald1r,f. mcdonald
65,jmurphy1s,j. murphy
66,lsmith1t,l. smith
67,koliver1u,k. oliver
68,pburns1v,p. burns
69,clynch1w,c. lynch
70,ngardner1x,n. gardner
71,jmoreno1y,j. moreno
72,dwilson1z,d. wilson
73,mpayne20,m. payne
74,tgreene21,t. greene
75,sarmstrong22,s. armstrong
76,rcastillo23,r. castillo
77,lstewart24,l. stewart
78,agordon25,a. gordon
