client_fid,street,city,state,zip,primary_phone
"C001","3989 Middlefield Rd","San Jose","CA","94085","(408) 813-9318"
"C002","2189 Capitol Ave","San Jose","CA","94085","(408) 473-9848"
"C003","754 Southampton Dr","San Jose","CA","94085","(408) 322-2483"
"C004","1900 University Ave","San Jose","CA","94085","(408) 322-8588"
"C005","3149 Morris Dr","San Jose","CA","94085","(408) 320-9008"
"C006","777 San Antonio Rd","San Mateo","CA","94401","(408) 320-8681"
"C007","866 Colorado Ave","San Mateo","CA","94401","(408) 857-9686"
"C008","3603 Lupine Ave","San Mateo","CA","94401","(408) 856-8177"
"C009","1656 Channing Ave","San Mateo","CA","94401","(408) 322-2478"
"C010","879 Newell Pl","San Mateo","CA","94401","(510) 322-1035"
"C011","797 Allen Ct","Palo Alto","CA","94303","(650) 320-8168"
"C012","3248 Morris Dr","Palo Alto","CA","94303","(408)  855-9684"
"C013","777 San Antonio Rd","Palo Alto","CA","94303","(510) 813-1510"
"C014","1033 Loma Verde Ave","Palo Alto","CA","94303","(650) 857-9015"
"C015","2315 Greer Rd","Palo Alto","CA","94303","(408) 565-8073"
"C016","873 Marshall Dr","Palo Alto","CA","94303","(650) 858-8383"
"C017","3751 Middlefield Rd","Palo Alto","CA","94303","(408) 813-1229"
"C018","737 Ore;n Ave","Mountain View","CA","94301","(650) 462-1332"
"C019","430 E Okeefe St","Mountain View","CA","94301","(650) 838-9279"
"C020","3016 Greer Rd","Mountain View","CA","94301","(650) 858-0808"
"C021","3016 Greer Rd","Mountain View","CA","94301","(408) 858-1112"
"C022","2162 Clarke Ave","Mountain View","CA","94301","(650) 289-9082"
"C023","2226 Louis Rd","Mountain View","CA","94301","(650) 251-9514"
"C024","2448 Greer Rd","Mountain View","CA","94301","(510) 856-9495"
"C025","2448 Greer Rd","Fremont","CA","94587","(510) 858-0438"
"C026","2392 Saint Francis Dr","Fremont","CA","94587","(510) 813-1284"
"C027","920 Amarillo Ave","Fremont","CA","94587","(510) 424-8998"
"C028","970 Elsinore Ct","Fremont","CA","94587","(510) 856-0569"
"C029","981 Colorado Ave","Fremont","CA","94587","(510) 856-1792"
"C030","3170 Stelling Dr","Fremont","CA","94587","(510) 494-6382"
"C031","3826 Ross Rd","Fremont","CA","94587","(510) 494-7247"
"C032","3786 Grove Ave","Fremont","CA","94587","(510) 813-1395"
"C033","201 E Okeefe St","Fremont","CA","94587","(510) 473-6860"
"C034","813 Sutter Ave","Fremont","CA","94587","(510) 856-6460"
"C035","813 Sutter Ave","Fremont","CA","94587","(510) 320-9884"
"C036","3509 Greer Rd","Oakland","CA","94601","(510) 493-4599"
"C037","833 Donohoe St","Oakland","CA","94601","(510) 328-2873"
"C038","907 Embarcadero Rd","Oakland","CA","94601","(510) 329-1422"
"C039","908 Oakes St","Oakland","CA","94601","(510) 326-7339"
"C040","526 Sacramento St","Oakland","CA","94601","(510) 566-8759"
"C041","3446 Janice Way","Oakland","CA","94601","(510) 494-1750"
"C042","3446 Janice Way","Oakland","CA","94601","(510) 494-7520"
"C043","1969 Tate St","Oakland","CA","94601","(510) 289-9166"
"C044","2701 Greer Rd","Oakland","CA","94601","(510) 856-9339"
"C045","1020 Moffett Cir","Oakland","CA","94601","(510) 494-7462"
"C046","1123 Camellia Dr","Oakland","CA","94601","(510) 325-1117"
"C047","1123 Camellia Dr","Oakland","CA","94601","(510) 325-5677"
"C048","1020 Moffett Cir","Oakland","CA","94601","(510) 856-6964"
"C049","768 Greer Rd","Oakland","CA","94601","(510) 856-6583"
