loan_officer_id,first_name,last_name,email,phone_number
1,Michael,Brown,michael.brown@example.com,555-123-4567
2,Michelle,Williams,michelle.williams@example.com,555-234-5678
3,Matthew,Richardson,matthew.richardson@example.com,555-345-6789
4,Sarah,Davis,sarah.davis@example.com,555-456-7890
5,Daniel,Martinez,daniel.martinez@example.com,555-567-8901
6,Jennifer,Lopez,jennifer.lopez@example.com,555-678-9012
7,Robert,Garcia,robert.garcia@example.com,555-789-0123
8,Jessica,Hernandez,jessica.hernandez@example.com,555-890-1234
9,Chaz,Lopez,chaz.lopez@example.com,555-901-2345
10,Laura,Gonzalez,laura.gonzalez@example.com,555-012-3456
11,Mark,Taylor,mark.taylor@example.com,555-123-4567
12,Rebecca,Sanchez,rebecca.sanchez@example.com,555-234-5678
13,Austen,Butler,austen.butler@example.com,555-345-6789
14,Anna,Rivera,anna.rivera@example.com,555-456-7890
15,Jay,Gutierrez,jay.gutierrez@example.com,555-567-8901
16,Nancy,Flores,nancy.flores@example.com,555-678-9012
17,Karen,Diaz,karen.diaz@example.com,555-789-0123
18,Victor,Ortiz,victor.ortiz@example.com,555-890-1234
19,Ronald,Castillo,ronald.castillo@example.com,555-901-2345
20,Julia,Romero,julia.romero@example.com,555-012-3456
21,Ernest,Montes,ernest.montes@example.com,555-123-4567
22,Martha,Vargas,martha.vargas@example.com,555-234-5678
23,Bradley,Thomka,bradley.thomka@example.com,555-345-6789
24,Diana,Chavez,diana.chavez@example.com,555-456-7890
